중요도	분류	중분류	소분류	내용 (체크리스트)	테스트 환경	수행 결과	이미지	개발 체크	비고(기타)
5	메인	Main	페이지 진입	홈 진입; 주요 배너/CTA 동작; 최근 세션/공지 표시					
5	로그인	로그인	기본 로그인	이메일/비밀번호 로그인 성공; 실패 시 안내 및 재시도; 중복 제출 방지					
5	로그인	로그인	소셜 진입	네이버/구글 로그인 창 진입; 권한 동의 후 복귀 처리					
4	로그인	Agreement	약관 동의	필수 동의 체크 시에만 다음 진행; 완료 시 온보딩 시작 화면 이동					
4	로그인	Navercallback	콜백 처리	콜백 수신·토큰 저장; 신규/기존 사용자 분기; 오류 시 로그인 복귀					
4	로그인	ObInfoGoogle	콜백 처리	구글 프로필 연동; 신규 사용자 온보딩 분기; 오류 시 로그인 복귀					
3	로그인	SignupComplete	완료 화면	완료 메시지; 홈/추천 이동; 뒤로가기 재진입 차단					
4	분석	AnalyticsDashboard	대시보드	핵심 카드 로딩; 기간 필터 반영; 비로그인 접근 차단					
5	채팅	ChatPage	메시지	텍스트 전송; 이미지/음성 전송; 실시간 수신/읽음 처리					
5	매칭	MatchingProfile	프로필 목록	목록 로딩/페이지네이션; 필터 적용; 카드 상세/채팅 시작					
4	프로필	ProfilePage	프로필 관리	프로필 조회; 수정 후 저장; 이미지 변경					
4	스케줄	Schedule	예약 관리	예약 목록/필터; 예약 수정·취소; 상세 보기					
5	세션	SessionList	세션 리스트	예정/진행/완료 탭 분류; 항목 터치 시 상세/입장					
4	세션	SessionCalendar	세션 캘린더	월/주/일 전환; 일정 생성/수정 진입					
5	세션	SessionScheduleNew	세션 예약	시간/상대 선택; 충돌 검증; 생성 성공 후 리스트 반영					
5	세션	AudioConnectionCheck	사전 점검	마이크 권한 요청; 입력 레벨 확인; 테스트 녹음 재생					
4	세션	VideoSessionCheck	사전 점검	카메라 권한/미리보기; 디바이스 전환; 네트워크 경고 표시					
5	세션	AudioSessionRoom	오디오 룸	입장/퇴장; 음소거/해제; 연결 끊김 재시도					
5	세션	VideoSessionRoom	비디오 룸	카메라 온/오프; 화면공유 시작/중지; 참가자 변동 표시					
5	세션	AudioSession	1:1 오디오	연결 성공; 통화 타이머; 종료 후 피드백 이동					
5	세션	VideoSession	1:1 비디오	연결 성공; 레이아웃 전환; 종료 후 복귀					
4	세션	GroupAudioSession	그룹 오디오	참가/퇴장 반영; 활성 스피커 표시; 호스트 권한 동작					
4	세션	GroupVideoSession	그룹 비디오	그리드/스피커 뷰 전환; 다자간 화면공유; 네트워크 복구					
